id,no answer,very important,quite important,not important,not at all important
0,0.000588574,0.821900466,0.097115915,0.065955801,0.014439245
1,0.004184851,0.071203430,0.851538678,0.066541334,0.006531707
2,0.004180267,0.201251421,0.475414906,0.297606945,0.021546460
3,0.026161799,0.058803814,0.606549476,0.271221405,0.037263506
4,0.002828696,0.291571789,0.638705152,0.053078652,0.013815711
5,0.000488590,0.635858784,0.330240038,0.026027849,0.007384739
6,0.000153439,0.789543561,0.160192818,0.021889824,0.028220358
7,0.004084875,0.021080607,0.359713436,0.366598031,0.248523050
8,0.001804609,0.548024295,0.376305888,0.051250902,0.022614306
9,0.004171138,0.842512943,0.116577985,0.030835352,0.005902582
10,0.002534721,0.505359746,0.384360751,0.073121541,0.034623241
11,0.003524286,0.029877044,0.151733701,0.540950607,0.273914362
12,0.000678224,0.866271394,0.123896822,0.007738647,0.001414913
13,0.001128622,0.371805636,0.587509295,0.031773094,0.007783352
14,0.004573778,0.163246644,0.564608954,0.249944990,0.017625633
15,0.002677131,0.477876291,0.490418103,0.023734199,0.005294276
16,0.001478906,0.770925305,0.201617601,0.021455183,0.004523005
17,0.003972729,0.005491902,0.065010396,0.811901395,0.113623578
18,0.006477117,0.191999251,0.711967535,0.078777472,0.010778626
19,0.004482271,0.396412389,0.477455125,0.057946967,0.063703248
20,0.097780899,0.152031433,0.279003439,0.319266787,0.151917442
21,0.000548833,0.943638594,0.051507874,0.003259336,0.001045363
22,0.019401451,0.285853115,0.473425355,0.195112136,0.026207943
23,0.002576735,0.234577090,0.631870874,0.116549827,0.014425474
24,0.001471566,0.335779119,0.592645457,0.057936916,0.012166942
25,0.001665015,0.360496224,0.577841117,0.049230610,0.010767033
26,0.087361580,0.510684230,0.328955003,0.049816981,0.023182205
27,0.005966892,0.085021214,0.710111689,0.143821131,0.055079075
28,0.003116397,0.283949275,0.580199758,0.116866430,0.015868140
29,0.022631749,0.233568246,0.703624230,0.029065529,0.011110245
30,0.007937112,0.037301031,0.383917480,0.382207127,0.188637249
31,0.000764044,0.599188925,0.371556751,0.023126813,0.005363468
32,0.000509161,0.932983782,0.061198659,0.003720128,0.001588270
33,0.001872673,0.349958381,0.556328465,0.074611871,0.017228610
34,0.001653786,0.614477194,0.357955994,0.020909923,0.005003103
35,0.001830211,0.148696572,0.346080745,0.313866814,0.189525658
36,0.002788119,0.480335317,0.470115692,0.041280225,0.005480649
37,0.000741777,0.856258853,0.126529952,0.012452070,0.004017348
38,0.000890838,0.411499746,0.533700515,0.050907342,0.003001559
39,0.002092669,0.398936566,0.529859578,0.064051154,0.005060033
40,0.001029498,0.629017195,0.351292016,0.015123135,0.003538157
41,0.005686371,0.179232234,0.348244354,0.304078208,0.162758833
42,0.001170289,0.428905286,0.332617902,0.174827616,0.062478908
43,0.001700735,0.557518805,0.405542904,0.031474769,0.003762788
44,0.002419753,0.607897986,0.341292684,0.038415830,0.009973746
45,0.007646539,0.188513853,0.312013201,0.444844588,0.046981820
46,0.000938671,0.553632820,0.423147570,0.017236475,0.005044464
47,0.000893373,0.527985726,0.428575169,0.029251387,0.013294346
48,0.002015411,0.750935489,0.206724485,0.033460909,0.006863706
49,0.007371135,0.801028063,0.157141361,0.030437090,0.004022350
50,0.000563562,0.835053941,0.137325849,0.021311211,0.005745436
51,0.001188916,0.582666239,0.348423733,0.045229748,0.022491365
52,0.002038549,0.291713182,0.640424734,0.054853855,0.010969681
53,0.005397720,0.063298424,0.433991897,0.465471850,0.031840110
54,0.000801980,0.209290271,0.664333016,0.102783373,0.022791359
