id,no answer,very important,quite important,not important,not at all important
0,0.001669815,0.785460830,0.172855660,0.035774782,0.004238998
1,0.006548456,0.064344436,0.861053526,0.062325735,0.005727823
2,0.008150785,0.101947449,0.572167456,0.296978027,0.020756293
3,0.017432680,0.093843505,0.761973977,0.104919441,0.021830408
4,0.003401906,0.218891293,0.701074660,0.071544193,0.005087977
5,0.001302324,0.496804595,0.458474606,0.038983047,0.004435405
6,0.001505207,0.762739062,0.204483241,0.026639504,0.004633010
7,0.016372953,0.022907246,0.323213786,0.438410193,0.199095801
8,0.005286968,0.439635515,0.434435576,0.090594701,0.030047268
9,0.007882696,0.807652712,0.139841050,0.040393360,0.004230127
10,0.006330836,0.557412028,0.274655849,0.117890529,0.043710757
11,0.008305447,0.016837597,0.198681951,0.462786317,0.313388646
12,0.001626249,0.884042621,0.099422745,0.011486473,0.003421975
13,0.002157848,0.488664657,0.468300134,0.037788566,0.003088875
14,0.005162512,0.085585482,0.607765615,0.282238722,0.019247670
15,0.002055853,0.536148131,0.428559154,0.030223446,0.003013395
16,0.002063857,0.820667684,0.151540503,0.022034919,0.003692994
17,0.004979761,0.002652969,0.078611948,0.776015043,0.137740269
18,0.006284469,0.170170709,0.772554100,0.046378426,0.004612247
19,0.007709853,0.477216065,0.390227079,0.087326512,0.037520498
20,0.013941643,0.118652605,0.378753990,0.349784166,0.138867602
21,0.001360450,0.937427163,0.047817212,0.010221202,0.003174063
22,0.008661966,0.241083831,0.527616918,0.199630409,0.023006896
23,0.003249854,0.317430437,0.560738325,0.106234483,0.012346938
24,0.002634618,0.387897223,0.562340617,0.042985491,0.004141965
25,0.001738719,0.303622693,0.649982154,0.039676115,0.004980298
26,0.099997267,0.588923097,0.217661262,0.059498101,0.033920210
27,0.011312930,0.085641958,0.720398128,0.140446126,0.042200882
28,0.001971026,0.272472322,0.554194689,0.148568451,0.022793556
29,0.079915673,0.094885245,0.713166773,0.078076616,0.033955660
30,0.050372895,0.023385029,0.393099874,0.357105821,0.176036373
31,0.001285780,0.531713307,0.428042918,0.035969559,0.002988470
32,0.001718175,0.916781843,0.065776303,0.012486449,0.003237214
33,0.009370437,0.233524472,0.670785844,0.066032209,0.020287016
34,0.002198308,0.651994228,0.325168341,0.017704384,0.002934662
35,0.036918763,0.028058268,0.342950463,0.388019383,0.204053149
36,0.002939122,0.338687390,0.614641249,0.040103283,0.003628919
37,0.001819828,0.912512600,0.067606241,0.014632602,0.003428740
38,0.001827366,0.289311528,0.662972510,0.041426297,0.004462218
39,0.003123404,0.334290147,0.614543676,0.044006277,0.004036522
40,0.002505362,0.623139083,0.332147211,0.038602162,0.003606194
41,0.005545009,0.054183643,0.435346663,0.335762024,0.169162527
42,0.002115241,0.310319990,0.461983413,0.192277119,0.033304203
43,0.002202356,0.510435641,0.446295291,0.038046550,0.003020130
44,0.002248301,0.462010026,0.494224340,0.037617560,0.003899746
45,0.010808194,0.145401821,0.527945995,0.219107658,0.096736327
46,0.002568905,0.507219553,0.453476608,0.033250391,0.003484563
47,0.002095348,0.598753989,0.348173976,0.046480704,0.004495985
48,0.002500242,0.602611423,0.346397668,0.044914458,0.003576270
49,0.004770072,0.796886146,0.168789908,0.025955688,0.003598128
50,0.002182992,0.799253106,0.160288110,0.034369636,0.003906170
51,0.001517853,0.560475767,0.349369675,0.068914630,0.019722067
52,0.002917216,0.411389261,0.521067262,0.050416432,0.014209806
53,0.007614879,0.040106162,0.542465210,0.367100924,0.042712782
54,0.002879765,0.223437309,0.583043277,0.160569355,0.030070266
55,0.002309205,0.508282602,0.451945722,0.034465414,0.002997076
56,0.003690932,0.108878046,0.792582154,0.078782842,0.016066048
57,0.001652973,0.357173860,0.563221157,0.072888054,0.005063919
58,0.003035834,0.256759495,0.550595760,0.166647673,0.022961147
59,0.002270919,0.548016250,0.406818122,0.035855375,0.007039342
60,0.001644118,0.841704726,0.141408518,0.011504585,0.003738064
61,0.006244025,0.029009216,0.469400942,0.383308977,0.112036884
62,0.006975099,0.044067979,0.642845929,0.281796247,0.024314743
63,0.003331558,0.262367606,0.685697138,0.043793824,0.004809882
64,0.001944722,0.493182153,0.448913097,0.050776429,0.005183552
65,0.004562190,0.292662293,0.655803919,0.042516366,0.004455241
66,0.040480785,0.122729495,0.619492710,0.203544945,0.013752101
67,0.001597006,0.629413724,0.307548612,0.056893595,0.004547062
68,0.002067638,0.390495270,0.562101603,0.041344482,0.003990969
69,0.007484013,0.081403501,0.768676281,0.134202302,0.008233997
70,0.005523696,0.182673335,0.516364098,0.249011189,0.046427749
71,0.002143451,0.488538682,0.461068988,0.043703988,0.004544778
72,0.002764345,0.872094572,0.112037107,0.009639655,0.003464367
73,0.003519885,0.258491933,0.594806850,0.122209474,0.020971855
74,0.002085467,0.477629304,0.443276793,0.055198040,0.021810338
75,0.005233027,0.555961728,0.364810646,0.057742354,0.016252300
76,0.001675970,0.941057026,0.041847140,0.012261968,0.003157697
77,0.005119500,0.224869683,0.576926470,0.173683047,0.019401215
78,0.029477738,0.250761330,0.500439644,0.153591931,0.065729313
79,0.003792391,0.390118420,0.565428555,0.037220862,0.003439782
80,0.002499708,0.554220974,0.415342271,0.024640964,0.003296086
81,0.001308539,0.635755181,0.330404580,0.029076649,0.003455018
82,0.004966616,0.278570324,0.576341987,0.093265183,0.046855867
83,0.197143108,0.319215208,0.416752875,0.052962054,0.013926716
84,0.029156161,0.191817731,0.288631558,0.389905035,0.100489609
85,0.001374749,0.636047959,0.309959441,0.044243827,0.008373994
86,0.002540315,0.511747181,0.428944290,0.051321074,0.005447172
87,0.002222397,0.539448678,0.427114367,0.028461736,0.002752817
88,0.003623037,0.033121724,0.392493874,0.520414174,0.050347257
89,0.019878985,0.087497301,0.477715611,0.379788011,0.035120144
90,0.001300410,0.507586718,0.447149247,0.034587629,0.009375953
91,0.005349012,0.198758036,0.650172472,0.094499789,0.051220693
92,0.012950512,0.053284943,0.548217535,0.360915214,0.024631791
93,0.009246822,0.026860764,0.595324039,0.309925944,0.058642436
94,0.002686253,0.493439823,0.421645343,0.055412740,0.026815897
95,0.001495210,0.557222486,0.411336690,0.027043952,0.002901695
96,0.009372704,0.063511260,0.513274133,0.281095177,0.132746756
97,0.002708432,0.619663537,0.328299791,0.045068711,0.004259535
98,0.008781511,0.033788741,0.308118254,0.544778526,0.104532957
99,0.001784295,0.500909805,0.456954807,0.037019663,0.003331470
100,0.001984753,0.732638776,0.245218739,0.016785637,0.003372133
101,0.004961817,0.152285591,0.680453837,0.135446548,0.026852172
102,0.007268787,0.254616261,0.313621372,0.142320812,0.282172769
103,0.008070829,0.010359128,0.074128024,0.444645077,0.462796986
104,0.014228320,0.023921205,0.164751440,0.435350955,0.361748040
105,0.001680565,0.943637073,0.039220352,0.012295586,0.003166354
106,0.006559776,0.210748300,0.688028634,0.089592077,0.005071159
