id,no answer,very important,quite important,not important,not at all important
0,0.014873844,0.206356001,0.284681636,0.285516728,0.208571792
1,0.014873840,0.206356128,0.284681759,0.285516665,0.208571608
2,0.014873840,0.206356128,0.284681759,0.285516665,0.208571608
3,0.014873862,0.206356024,0.284681707,0.285516638,0.208571771
4,0.014873851,0.206356212,0.284681868,0.285516543,0.208571527
5,0.014873837,0.206356164,0.284681796,0.285516625,0.208571578
6,0.014873833,0.206356190,0.284681799,0.285516631,0.208571546
7,0.014873858,0.206356060,0.284681744,0.285516597,0.208571740
8,0.014873833,0.206356190,0.284681799,0.285516631,0.208571546
9,0.014873847,0.206356239,0.284681872,0.285516548,0.208571494
10,0.014873833,0.206356191,0.284681799,0.285516631,0.208571546
11,0.014873840,0.206356221,0.284681840,0.285516584,0.208571514
12,0.014873844,0.206356195,0.284681838,0.285516578,0.208571546
13,0.014873844,0.206356195,0.284681838,0.285516577,0.208571545
14,0.014873837,0.206356165,0.284681798,0.285516624,0.208571577
15,0.014873844,0.206356195,0.284681838,0.285516577,0.208571545
16,0.014873851,0.206356214,0.284681870,0.285516540,0.208571525
17,0.014873840,0.206356038,0.284681675,0.285516686,0.208571761
18,0.014873840,0.206356221,0.284681841,0.285516583,0.208571514
19,0.014873833,0.206356192,0.284681801,0.285516630,0.208571545
20,0.014873840,0.206356039,0.284681676,0.285516685,0.208571760
21,0.014873837,0.206356166,0.284681799,0.285516623,0.208571576
22,0.014873857,0.206356071,0.284681756,0.285516585,0.208571732
23,0.014873850,0.206356224,0.284681881,0.285516529,0.208571516
24,0.014873853,0.206356097,0.284681758,0.285516591,0.208571700
25,0.014873839,0.206356231,0.284681851,0.285516572,0.208571506
26,0.014873850,0.206356224,0.284681881,0.285516529,0.208571516
27,0.014873853,0.206356097,0.284681758,0.285516591,0.208571700
28,0.014873846,0.206356250,0.284681883,0.285516536,0.208571485
29,0.014873832,0.206356202,0.284681811,0.285516619,0.208571537
30,0.014873857,0.206356071,0.284681756,0.285516584,0.208571731
31,0.014873836,0.206356176,0.284681808,0.285516612,0.208571568
32,0.014873836,0.206356176,0.284681809,0.285516611,0.208571568
33,0.014873857,0.206356072,0.284681756,0.285516584,0.208571731
34,0.014873839,0.206356232,0.284681852,0.285516571,0.208571505
35,0.014873839,0.206356050,0.284681686,0.285516673,0.208571751
36,0.014873846,0.206356251,0.284681884,0.285516535,0.208571485
37,0.014873843,0.206356023,0.284681684,0.285516667,0.208571783
38,0.014873832,0.206356202,0.284681812,0.285516618,0.208571536
39,0.014873839,0.206356232,0.284681852,0.285516571,0.208571505
40,0.014873839,0.206356232,0.284681852,0.285516571,0.208571505
41,0.014873836,0.206356176,0.284681809,0.285516611,0.208571568
42,0.014873832,0.206356202,0.284681812,0.285516618,0.208571536
43,0.014873846,0.206356251,0.284681884,0.285516534,0.208571484
44,0.014873832,0.206356203,0.284681812,0.285516618,0.208571536
45,0.014873860,0.206356035,0.284681720,0.285516624,0.208571760
46,0.014873845,0.206356180,0.284681823,0.285516594,0.208571557
47,0.014873835,0.206356167,0.284681775,0.285516658,0.208571565
48,0.014873839,0.206356141,0.284681774,0.285516650,0.208571596
49,0.014873842,0.206356197,0.284681817,0.285516610,0.208571533
50,0.014873856,0.206356072,0.284681733,0.285516619,0.208571721
51,0.014873849,0.206356216,0.284681849,0.285516573,0.208571513
52,0.014873842,0.206356197,0.284681817,0.285516610,0.208571533
53,0.014873856,0.206356063,0.284681724,0.285516629,0.208571728
54,0.014873840,0.206356037,0.284681674,0.285516687,0.208571761
55,0.014873840,0.206356221,0.284681841,0.285516584,0.208571514
56,0.014873847,0.206356239,0.284681872,0.285516548,0.208571494
57,0.014873840,0.206356221,0.284681841,0.285516584,0.208571514
58,0.014873854,0.206356086,0.284681747,0.285516603,0.208571709
59,0.014873847,0.206356239,0.284681872,0.285516548,0.208571494
60,0.014873833,0.206356191,0.284681800,0.285516631,0.208571546
61,0.014873858,0.206356061,0.284681745,0.285516596,0.208571740
62,0.014873833,0.206356191,0.284681800,0.285516631,0.208571546
63,0.014873833,0.206356191,0.284681800,0.285516631,0.208571546
64,0.014873854,0.206356086,0.284681748,0.285516603,0.208571709
65,0.014873847,0.206356239,0.284681872,0.285516548,0.208571494
66,0.014873847,0.206356239,0.284681872,0.285516548,0.208571494
67,0.014873840,0.206356038,0.284681675,0.285516686,0.208571761
68,0.014873836,0.206356175,0.284681809,0.285516612,0.208571568
69,0.014873837,0.206356165,0.284681798,0.285516624,0.208571576
70,0.014873833,0.206356191,0.284681800,0.285516631,0.208571545
71,0.014873851,0.206356043,0.284681715,0.285516631,0.208571759
72,0.014873836,0.206356176,0.284681809,0.285516612,0.208571568
73,0.014873844,0.206356014,0.284681675,0.285516678,0.208571790
74,0.014873833,0.206356192,0.284681802,0.285516629,0.208571544
75,0.014873837,0.206356163,0.284681797,0.285516626,0.208571578
76,0.014873851,0.206356213,0.284681870,0.285516541,0.208571525
77,0.014873837,0.206356165,0.284681798,0.285516624,0.208571576
78,0.014873833,0.206356191,0.284681800,0.285516631,0.208571545
79,0.014873847,0.206356239,0.284681873,0.285516547,0.208571493
80,0.014873833,0.206356191,0.284681801,0.285516630,0.208571545
81,0.014873837,0.206356165,0.284681798,0.285516624,0.208571577
82,0.014873844,0.206356012,0.284681673,0.285516680,0.208571792
83,0.014873854,0.206356087,0.284681748,0.285516603,0.208571708
84,0.014873852,0.206356042,0.284681714,0.285516633,0.208571760
85,0.014873833,0.206356191,0.284681801,0.285516630,0.208571545
86,0.014873847,0.206356239,0.284681873,0.285516548,0.208571493
87,0.014873833,0.206356193,0.284681802,0.285516629,0.208571544
88,0.014873858,0.206356061,0.284681746,0.285516596,0.208571739
89,0.014873837,0.206356165,0.284681799,0.285516624,0.208571576
90,0.014873837,0.206356165,0.284681799,0.285516623,0.208571576
91,0.014873833,0.206356191,0.284681801,0.285516630,0.208571545
92,0.014873837,0.206356165,0.284681799,0.285516623,0.208571576
93,0.014873837,0.206356165,0.284681799,0.285516623,0.208571576
94,0.014873837,0.206356166,0.284681799,0.285516623,0.208571576
95,0.014873837,0.206356166,0.284681799,0.285516623,0.208571576
96,0.014873854,0.206356087,0.284681749,0.285516602,0.208571708
97,0.014873837,0.206356166,0.284681799,0.285516623,0.208571576
98,0.014873833,0.206356192,0.284681802,0.285516629,0.208571544
